"Código","Municipio","Nivel Educativo","Cantidad de Personas"
1420,"Playa Grande Ixcán","Primaria, 6",13674
1420,"Playa Grande Ixcán","Basico",10778
1420,"Playa Grande Ixcán","Diversificado",6139
1420,"Playa Grande Ixcán","Licenciatura",1384
1420,"Playa Grande Ixcán","Maestria y doctorado",36
1421,"Pachalum","Ninguno",1713
1421,"Pachalum","Preprimaria",394
1421,"Pachalum","Primaria, 1-3",1797
1421,"Pachalum","Primaria, 4-5",721
1421,"Pachalum","Primaria, 6",1363
1421,"Pachalum","Basico",840
1421,"Pachalum","Diversificado",1045
1421,"Pachalum","Licenciatura",291
1421,"Pachalum","Maestria y doctorado",6
1501,"Salamá","Ninguno",12386
1501,"Salamá","Preprimaria",2311
1501,"Salamá","Primaria, 1-3",11115
1501,"Salamá","Primaria, 4-5",5731
1501,"Salamá","Primaria, 6",10110
1501,"Salamá","Basico",7391
1501,"Salamá","Diversificado",7864
1501,"Salamá","Licenciatura",2425
1501,"Salamá","Maestria y doctorado",174
1502,"San Miguel Chicaj","Ninguno",5867
1502,"San Miguel Chicaj","Preprimaria",1507
1502,"San Miguel Chicaj","Primaria, 1-3",6105
1502,"San Miguel Chicaj","Primaria, 4-5",2725
1502,"San Miguel Chicaj","Primaria, 6",4398
1502,"San Miguel Chicaj","Basico",3563
1502,"San Miguel Chicaj","Diversificado",4811
1502,"San Miguel Chicaj","Licenciatura",757
1502,"San Miguel Chicaj","Maestria y doctorado",25
1503,"Rabinal","Ninguno",8042
1503,"Rabinal","Preprimaria",1697
1503,"Rabinal","Primaria, 1-3",6165
1503,"Rabinal","Primaria, 4-5",2964
1503,"Rabinal","Primaria, 6",4632
1503,"Rabinal","Basico",5460
1503,"Rabinal","Diversificado",6551
1503,"Rabinal","Licenciatura",1716
1503,"Rabinal","Maestria y doctorado",79
1504,"Cubulco","Ninguno",17644
1504,"Cubulco","Preprimaria",2107
1504,"Cubulco","Primaria, 1-3",9799
1504,"Cubulco","Primaria, 4-5",4683
1504,"Cubulco","Primaria, 6",6907
1504,"Cubulco","Basico",4424
1504,"Cubulco","Diversificado",2914
1504,"Cubulco","Licenciatura",966
1504,"Cubulco","Maestria y doctorado",60
1505,"Granados","Ninguno",2795
1505,"Granados","Preprimaria",414
1505,"Granados","Primaria, 1-3",2602
1505,"Granados","Primaria, 4-5",1145
1505,"Granados","Primaria, 6",2200
1505,"Granados","Basico",1450
1505,"Granados","Diversificado",1530
1505,"Granados","Licenciatura",338
1505,"Granados","Maestria y doctorado",21
1506,"Santa Cruz El Chol","Ninguno",1550
1506,"Santa Cruz El Chol","Preprimaria",354
1506,"Santa Cruz El Chol","Primaria, 1-3",1710
1506,"Santa Cruz El Chol","Primaria, 4-5",850
1506,"Santa Cruz El Chol","Primaria, 6",1859
1506,"Santa Cruz El Chol","Basico",1145
1506,"Santa Cruz El Chol","Diversificado",976
1506,"Santa Cruz El Chol","Licenciatura",327
1506,"Santa Cruz El Chol","Maestria y doctorado",13
1507,"San Jerónimo","Ninguno",3694
1507,"San Jerónimo","Preprimaria",1261
1507,"San Jerónimo","Primaria, 1-3",4962
1507,"San Jerónimo","Primaria, 4-5",2254
1507,"San Jerónimo","Primaria, 6",4449
1507,"San Jerónimo","Basico",3095
1507,"San Jerónimo","Diversificado",2766
1507,"San Jerónimo","Licenciatura",599
1507,"San Jerónimo","Maestria y doctorado",55
1508,"Purulhá","Ninguno",17563
1508,"Purulhá","Preprimaria",2884
1508,"Purulhá","Primaria, 1-3",11125
1508,"Purulhá","Primaria, 4-5",5162
1508,"Purulhá","Primaria, 6",6420
1508,"Purulhá","Basico",4098
1508,"Purulhá","Diversificado",2006
1508,"Purulhá","Licenciatura",344
1508,"Purulhá","Maestria y doctorado",22
1601,"Cobán","Ninguno",50479
1601,"Cobán","Preprimaria",9179
1601,"Cobán","Primaria, 1-3",34297
1601,"Cobán","Primaria, 4-5",17576
1601,"Cobán","Primaria, 6",25115
1601,"Cobán","Basico",24794
1601,"Cobán","Diversificado",20368
1601,"Cobán","Licenciatura",9859
1601,"Cobán","Maestria y doctorado",739
1602,"Santa Cruz Verapaz","Ninguno",7613
1602,"Santa Cruz Verapaz","Preprimaria",1234
1602,"Santa Cruz Verapaz","Primaria, 1-3",5860
1602,"Santa Cruz Verapaz","Primaria, 4-5",2671
