"Código","Municipio","Total de personas","Lugar de Nacimiento","Personas","Porcentaje de la Poblacion"
412,"San Pedro Yepocapa",34948,"En otro paÍs",89,0.25
413,"San Andrés Itzapa",32083,"En otro paÍs",84,0.26
414,"Parramos",15924,"En otro paÍs",31,0.19
415,"Zaragoza",24022,"En otro paÍs",91,0.38
416,"El Tejar",19492,"En otro paÍs",125,0.64
501,"Escuintla",156313,"En otro paÍs",1092,0.7
502,"Santa Lucía Cotzumalguapa",112780,"En otro paÍs",362,0.32
503,"La Democracia",23017,"En otro paÍs",100,0.43
504,"Siquinalá",22968,"En otro paÍs",109,0.47
505,"Masagua",45323,"En otro paÍs",141,0.31
506,"Tiquisate",57292,"En otro paÍs",344,0.6
507,"La Gomera",46666,"En otro paÍs",286,0.61
508,"Guanagazapa",15958,"En otro paÍs",120,0.75
509,"San José",62801,"En otro paÍs",547,0.87
510,"Iztapa",18342,"En otro paÍs",172,0.94
511,"Palín",65873,"En otro paÍs",524,0.8
512,"San Vicente Pacaya",16705,"En otro paÍs",61,0.37
513,"Nueva Concepción",72909,"En otro paÍs",413,0.57
514,"Sipacate",16234,"En otro paÍs",180,1.11
601,"Cuilapa",41359,"En otro paÍs",164,0.4
602,"Barberena",58276,"En otro paÍs",375,0.64
603,"Santa Rosa de Lima",19702,"En otro paÍs",118,0.6
604,"Casillas",24956,"En otro paÍs",67,0.27
605,"San Rafael las Flores",12641,"En otro paÍs",75,0.59
606,"Oratorio",24954,"En otro paÍs",266,1.07
607,"San Juan Tecuaco",10122,"En otro paÍs",19,0.19
608,"Chiquimulilla",53727,"En otro paÍs",392,0.73
609,"Taxisco",29846,"En otro paÍs",153,0.51
610,"Santa María Ixhuatán",23801,"En otro paÍs",23,0.1
611,"Guazacapán",18855,"En otro paÍs",74,0.39
612,"Santa Cruz Naranjo",16385,"En otro paÍs",52,0.32
613,"Pueblo Nuevo Viñas",25529,"En otro paÍs",55,0.22
614,"Nueva Santa Rosa",36454,"En otro paÍs",147,0.4
701,"Sololá",88612,"En otro paÍs",49,0.06
702,"San José Chacayá",4068,"En otro paÍs",3,0.07
703,"Santa María Visitación",2370,"En otro paÍs",7,0.3
704,"Santa Lucía Utatlán",21284,"En otro paÍs",20,0.09
705,"Nahualá",75430,"En otro paÍs",11,0.01
706,"Santa Catarina Ixtahuacán",56981,"En otro paÍs",9,0.02
