"Código","Municipio","Total de personas","Zona","Cantidad de Personas","Porcentaje de Poblacion"
709,"San Andrés Semetabaj",13142,"Urbano",3325,25.3
709,"San Andrés Semetabaj",13142,"Rural",9817,74.7
710,"Panajachel",15077,"Urbano",13767,91.31
710,"Panajachel",15077,"Rural",1310,8.69
711,"Santa Catarina Palopó",3924,"Urbano",3297,84.02
711,"Santa Catarina Palopó",3924,"Rural",627,15.98
712,"San Antonio Palopó",14437,"Urbano",7062,48.92
712,"San Antonio Palopó",14437,"Rural",7375,51.08
713,"San Lucas Tolimán",29772,"Urbano",17101,57.44
713,"San Lucas Tolimán",29772,"Rural",12671,42.56
714,"Santa Cruz la Laguna",5820,"Urbano",1723,29.6
714,"Santa Cruz la Laguna",5820,"Rural",4097,70.4
715,"San Pablo la Laguna",7299,"Urbano",7299,100
715,"San Pablo la Laguna",7299,"Rural",0,0
716,"San Marcos la Laguna",2617,"Urbano",2617,100
716,"San Marcos la Laguna",2617,"Rural",0,0
717,"San Juan la Laguna",12162,"Urbano",8051,66.2
717,"San Juan la Laguna",12162,"Rural",4111,33.8
718,"San Pedro la Laguna",10705,"Urbano",10705,100
718,"San Pedro la Laguna",10705,"Rural",0,0
719,"Santiago Atitlán",41877,"Urbano",38100,90.98
719,"Santiago Atitlán",41877,"Rural",3777,9.02
801,"Totonicapán",103952,"Urbano",103952,100
801,"Totonicapán",103952,"Rural",0,0
802,"San Cristóbal Totonicapán",36119,"Urbano",12589,34.85
802,"San Cristóbal Totonicapán",36119,"Rural",23530,65.15
803,"San Francisco el Alto",57894,"Urbano",38995,67.36
803,"San Francisco el Alto",57894,"Rural",18899,32.64
804,"San Andrés Xecul",26984,"Urbano",15074,55.86
804,"San Andrés Xecul",26984,"Rural",11910,44.14
805,"Momostenango",105617,"Urbano",15601,14.77
805,"Momostenango",105617,"Rural",90016,85.23
806,"Santa María Chiquimula",55013,"Urbano",15919,28.94
806,"Santa María Chiquimula",55013,"Rural",39094,71.06
807,"Santa Lucía la Reforma",22378,"Urbano",1146,5.12
807,"Santa Lucía la Reforma",22378,"Rural",21232,94.88
808,"San Bartolo Aguas Calientes",10612,"Urbano",1662,15.66
808,"San Bartolo Aguas Calientes",10612,"Rural",8950,84.34
901,"Quetzaltenango",180706,"Urbano",180706,100
901,"Quetzaltenango",180706,"Rural",0,0
902,"Salcajá",19434,"Urbano",17042,87.69
902,"Salcajá",19434,"Rural",2392,12.31
903,"San Juan Olintepeque",35060,"Urbano",31545,89.97
903,"San Juan Olintepeque",35060,"Rural",3515,10.03
904,"San Carlos Sija",30224,"Urbano",4766,15.77
904,"San Carlos Sija",30224,"Rural",25458,84.23
905,"Sibilia",8407,"Urbano",830,9.87
905,"Sibilia",8407,"Rural",7577,90.13
906,"Cabricán",23033,"Urbano",6998,30.38
906,"Cabricán",23033,"Rural",16035,69.62
907,"Cajolá",14948,"Urbano",14948,100
907,"Cajolá",14948,"Rural",0,0
908,"San Miguel Siguilá",7889,"Urbano",4662,59.09
908,"San Miguel Siguilá",7889,"Rural",3227,40.91
909,"San Juan Ostuncalco",51828,"Urbano",20763,40.06
909,"San Juan Ostuncalco",51828,"Rural",31065,59.94
910,"San Mateo",7895,"Urbano",7719,97.77
910,"San Mateo",7895,"Rural",176,2.23
911,"Concepción Chiquirichapa",17342,"Urbano",9879,56.97
911,"Concepción Chiquirichapa",17342,"Rural",7463,43.03
912,"San Martín Sacatepéquez",29373,"Urbano",4457,15.17
912,"San Martín Sacatepéquez",29373,"Rural",24916,84.83
913,"Almolonga",15724,"Urbano",12299,78.22
913,"Almolonga",15724,"Rural",3425,21.78
914,"Cantel",42142,"Urbano",35825,85.01
914,"Cantel",42142,"Rural",6317,14.99
915,"Huitán",13450,"Urbano",4707,35
915,"Huitán",13450,"Rural",8743,65
916,"Zunil",14118,"Urbano",10792,76.44
916,"Zunil",14118,"Rural",3326,23.56
917,"Colomba Costa Cuca",47544,"Urbano",28655,60.27
917,"Colomba Costa Cuca",47544,"Rural",18889,39.73
918,"San Francisco la Unión",7939,"Urbano",3375,42.51
918,"San Francisco la Unión",7939,"Rural",4564,57.49
919,"El Palmar",29132,"Urbano",19115,65.62
919,"El Palmar",29132,"Rural",10017,34.38
920,"Coatepeque",105415,"Urbano",37330,35.41
920,"Coatepeque",105415,"Rural",68085,64.59
921,"Génova",37497,"Urbano",4731,12.62
921,"Génova",37497,"Rural",32766,87.38
922,"Flores Costa Cuca",21630,"Urbano",9008,41.65
922,"Flores Costa Cuca",21630,"Rural",12622,58.35
923,"La Esperanza",22166,"Urbano",19724,88.98
923,"La Esperanza",22166,"Rural",2442,11.02
924,"Palestina de los Altos",16205,"Urbano",1958,12.08
924,"Palestina de los Altos",16205,"Rural",14247,87.92
1001,"Mazatenango",77431,"Urbano",77431,100
1001,"Mazatenango",77431,"Rural",0,0
